Name;Symbol;Exchange;Last;Bid;Ask;Extended Hours;Extended Hours (%);Open;Prev.;High;Low;Chg.;Chg. %;Vol.;Next Earnings Date;Time;Market Cap;Revenue;Average Vol. (3m);EPS;P/E Ratio;Beta;Dividend;Yield;5 Minutes;15 Minutes;30 Minutes;Hourly;5 Hours;Daily;Weekly;Monthly;Daily;1 Week;1 Month;YTD;1 Year;3 Years
Adobe Systems Incorporated;ADBE;NASDAQ;331.11;-;-;331.50;0.12%;332.91;333.60;333.75;328.59;-2.49;-0.75%;2,761,396;Dec 11, 2025;;138,600,000,000;23,180,000,000;4,208,981;16.0464;21.00;1.54;-;-;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Sell;-0.75%;Strong Sell;Strong Sell;-0.75%;1.27%;-0.65%;-25.54%;-34.22%;-1.99%
Amgen Inc;AMGN;NASDAQ;336.74;-;-;337.16;0.12%;336.74;336.00;339.80;330.35;+0.74;+0.22%;3,310,332;Feb 03, 2026;14-nov;181,330,000,000;35,970,000,000;2,421,164;12.9338;26.21;0.46;9.52;2.83%;Strong Sell;Sell;Neutral;Buy;Strong Buy;0.22%;Strong Buy;Strong Buy;0.22%;5.17%;12.69%;29.20%;18.73%;17.21%
Buckle Inc;BKE;NYSE;56.20;-;-;56.20;--;55.76;56.15;56.40;55.55;+0.05;+0.09%;285,924;Nov 21, 2025;14-nov;2,820,000,000;1,250,000,000;512,31;3.9966;14.08;0.98;1.4;2.49%;Strong Sell;Buy;Strong Buy;Neutral;Sell;0.09%;Buy;Strong Buy;0.09%;-1.95%;3.44%;10.61%;17.28%;58.68%
Carlisle Companies Incorporated;CSL;NYSE;306.54;-;-;306.54;--;318.30;315.95;318.30;305.37;-9.41;-2.98%;669,084;Feb 10, 2026;14-nov;12,780,000,000;5,020,000,000;522,295;17.4597;17.53;0.99;4.4;1.44%;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;-2.98%;Strong Sell;Strong Sell;-2.98%;-3.73%;-5.35%;-16.89%;-31.17%;24.24%
Deckers Outdoor Corporation;DECK;NYSE;82.82;-;-;82.82;--;82.25;83.10;83.35;82.00;-0.28;-0.34%;2,478,071;Jan 29, 2026;14-nov;12,070,000,000;5,240,000,000;3,661,791;6.7499;12.28;1.05;-;-;Strong Buy;Buy;Neutral;Strong Sell;Strong Sell;-0.34%;Strong Sell;Strong Sell;-0.34%;1.28%;-17.03%;-59.22%;-52.85%;40.79%
Exelixis Inc;EXEL;NASDAQ;41.65;-;-;42.36;1.68%;41.93;42.35;42.59;41.23;-0.70;-1.65%;2,571,943;Feb 10, 2026;14-nov;11,210,000,000;2,290,000,000;2,663,858;2.3765;17.81;0.41;-;-;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Buy;-1.65%;Strong Buy;Strong Buy;-1.65%;2.06%;6.11%;25.08%;20.90%;146.16%
FactSet Research Systems Inc;FDS;NYSE;273.91;-;-;273.65;-0.09%;277.37;277.94;280.19;271.38;-4.03;-1.45%;677,773;Dec 18, 2025;14-nov;10,260,000,000;2,320,000,000;751,048;15.55;17.63;0.79;4.4;1.61%;Neutral;Strong Sell;Sell;Strong Sell;Neutral;-1.45%;Strong Sell;Strong Sell;-1.45%;4.31%;-4.45%;-42.97%;-43.40%;-37.28%
Gartner Inc;IT;NYSE;231.03;-;-;231.04;--;230.81;230.17;233.59;229.41;+0.86;+0.37%;772,667;Feb 10, 2026;14-nov;16,650,000,000;6,460,000,000;1,343,464;11.4927;20.17;1.08;-;-;Strong Sell;Strong Sell;Strong Sell;Neutral;Neutral;0.37%;Strong Sell;Strong Sell;0.37%;0.20%;-1.99%;-52.31%;-55.81%;-30.54%
Haemonetics Corporation;HAE;NYSE;73.49;-;-;73.26;-0.31%;72.44;73.91;74.94;71.91;-0.42;-0.57%;1,389,199;Feb 10, 2026;14-nov;3,440,000,000;1,330,000,000;997,593;3.4353;21.56;0.36;-;-;Strong Sell;Strong Sell;Sell;Neutral;Strong Buy;-0.57%;Buy;Neutral;-0.57%;7.50%;46.22%;-5.88%;-17.63%;-6.86%
Unitedhealth Group;UNH;NYSE;321.86;-;-;320.63;-0.36%;326.95;332.52;328.21;320.49;-10.66;-3.21%;8,676,498;Jan 21, 2026;14-nov;291,550,000,000;435,160,000,000;12,276,950;19.2173;17.64;0.43;8.84;2.75%;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;-3.21%;Strong Sell;Strong Sell;-3.21%;-0.72%;-9.74%;-36.37%;-45.65%;-37.54%
Check Point Software Technologies Ltd;CHKP;NASDAQ;197.52;-;-;195.00;-1.28%;195.84;198.81;200.20;195.79;-1.29;-0.65%;488,896;Jan 29, 2026;14-nov;21,200,000,000;2,680,000,000;796,7;9.1211;21.73;0.6;-;-;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;-0.65%;Strong Buy;Neutral;-0.65%;-1.38%;3.60%;5.80%;13.35%;54.34%
Oshkosh Corporation;OSK;NYSE;124.58;-;-;124.58;-0.02%;124.49;124.27;126.36;123.70;+0.31;+0.25%;461,027;Feb 03, 2026;14-nov;7,880,000,000;10,330,000,000;717,044;10.246;12.18;1.41;2.04;1.64%;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Neutral;0.25%;Sell;Strong Buy;0.25%;2.57%;-5.54%;31.04%;14.71%;36.21%
Smith AO Corporation;AOS;NYSE;64.74;-;-;65.61;1.34%;65.85;66.09;66.27;64.65;-1.35;-2.04%;1,168,797;Feb 03, 2026;14-nov;9,010,000,000;3,830,000,000;1,118,473;3.7045;17.56;1.3;1.44;2.22%;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;-2.04%;Strong Sell;Strong Sell;-2.04%;-2.29%;-7.13%;-5.09%;-10.37%;7.72%
