Name;Symbol;Exchange;Last;Bid;Ask;Extended Hours;Extended Hours (%);Open;Prev.;High;Low;Chg.;Chg. %;Vol.;Next Earnings Date;Time;Market Cap;Revenue;Average Vol. (3m);EPS;P/E Ratio;Beta;Dividend;Yield;5 Minutes;15 Minutes;30 Minutes;Hourly;5 Hours;Daily;Weekly;Monthly;Daily;1 Week;1 Month;YTD;1 Year;3 Years
Microsoft;MSFT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alphabet;GOOGL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amazon;AMZN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Palantir;PLTR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Snowflake;SNOW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salesforce;CRM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ServiceNow;NOW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adobe;ADBE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oracle;ORCL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBM;IBM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
