Name;Symbol;Exchange;Last;Bid;Ask;Extended Hours;Extended Hours (%);Open;Prev.;High;Low;Chg.;Chg. %;Vol.;Next Earnings Date;Time;Market Cap;Revenue;Average Vol. (3m);EPS;P/E Ratio;Beta;Dividend;Yield;5 Minutes;15 Minutes;30 Minutes;Hourly;5 Hours;Daily;Weekly;Monthly;Daily;1 Week;1 Month;YTD;1 Year;3 Years
NVIDIA Corporation;NVDA.O;NASDAQ;188.23;-;-;189.57;0.75%;184.80;188.08;188.32;178.92;+0.14;+0.08%;238,702,255;Nov 19, 2025;;4.55T;165,220,000,000;180,534,374;3.5105;53.30;2.1;0.04;0.02%;Strong Buy;Strong Buy;Buy;Sell;Strong Sell;Sell;Strong Buy;Strong Buy;0.08%;-7.04%;-0.47%;40.17%;27.50%;1189.07%
Charter Communications Inc;CHTR.O;NASDAQ;219.86;-;-;219.75;-0.05%;218.37;217.86;220.17;213.52;+2.00;+0.92%;1,180,186;Jan 30, 2026;15:59:59;31,970,000,000;55,100,000,000;1,984,567;36.097;6.01;1.05;-;-;Strong Buy;Strong Buy;Strong Buy;Neutral;Strong Sell;Strong Sell;Strong Sell;Strong Sell;0.92%;-5.98%;-19.87%;-35.86%;-44.16%;-38.01%
Super Micro Computer Inc;SMCI.O;NASDAQ;39.79;-;-;40.08;0.80%;39.86;40.34;40.08;38.14;-0.55;-1.35%;31,919,351;Feb 03, 2026;15:59:59;23,600,000,000;21,050,000,000;29,321,959;1.33;29.92;1.48;-;-;Strong Buy;Buy;Neutral;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Neutral;-1.35%;-23.42%;-32.19%;30.54%;62.28%;408.11%
Capital One Financial Corporation;COF;NYSE;217.82;-;-;225.33;3.45%;216.12;216.88;219.06;213.30;+0.94;+0.43%;3,187,032;Jan 27, 2026;15:59:59;138,110,000,000;28,890,000,000;3,426,225;2.38;91.47;1.17;3.2;1.48%;Strong Buy;Strong Buy;Buy;Sell;Strong Sell;Sell;Buy;Strong Buy;0.43%;-0.99%;2.78%;22.15%;17.61%;106.39%
Bank of America Corp;BAC;NYSE;53.20;-;-;53.25;0.09%;53.15;53.29;53.58;52.71;-0.09;-0.17%;39,007,757;Jan 14, 2026;15:59:59;389,000,000,000;101,450,000,000;35,293,226;3.71;14.37;1.30;1.12;2.1%;Strong Sell;Neutral;Neutral;Buy;Buy;Strong Buy;Strong Buy;Strong Buy;-0.17%;-0.47%;6.74%;21.05%;17.88%;43.36%
Diamondback Energy Inc;FANG.O;NASDAQ;143.65;-;-;144.00;0.24%;141.94;140.77;144.63;139.76;+2.88;+2.05%;1,237,556;Feb 24, 2026;15:59:59;41,080,000,000;14,630,000,000;1,884,813;14.37;9.99;0.616;4;2.84%;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Buy;Neutral;Strong Sell;2.05%;0.32%;-3.64%;-12.32%;-21.02%;-12.17%
Tesla Inc;TSLA.O;NASDAQ;429.52;-;-;430.30;0.18%;437.92;445.91;437.94;421.88;-16.39;-3.68%;101,762,186;Jan 28, 2026;15:59:59;1.42T;95,630,000,000;87,806,482;1.4491;301.11;2.09;-;-;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Sell;Strong Buy;Strong Buy;-3.68%;-5.92%;-2.09%;6.36%;33.72%;124.53%
PayPal Holdings Inc;PYPL.O;NASDAQ;66.22;-;-;66.36;0.21%;65.50;66.26;66.52;64.78;-0.04;-0.06%;13,097,983;Feb 11, 2026;;61,970,000,000;32,860,000,000;14,283,963;4.9787;13.30;1.43;0.56;0.85%;Strong Buy;Strong Buy;Buy;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;-0.06%;-4.40%;-13.02%;-22.41%;-20.23%;-18.38%
Biogen Inc;BIIB.O;NASDAQ;155.51;-;-;155.36;-0.10%;156.70;156.74;156.70;151.83;-1.23;-0.78%;1,383,378;Jan 29, 2026;;22,790,000,000;10,070,000,000;1,633,930;11.00;14.08;0.145;-;-;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Sell;-0.78%;0.80%;3.01%;1.69%;-10.13%;-45.66%
Palo Alto Networks Inc;PANW.O;NASDAQ;212.27;-;-;212.89;0.28%;208.23;211.37;212.64;207.86;+0.90;+0.43%;4,475,263;Nov 19, 2025;15:59:59;143,650,000,000;9,220,000,000;6,465,713;1.6;132.48;0.77;-;-;Strong Buy;Strong Buy;Strong Buy;Buy;Sell;Neutral;Strong Buy;Strong Buy;0.43%;-3.62%;-2.53%;16.66%;8.47%;175.39%
