Name;Symbol;Exchange;Last;Bid;Ask;Extended Hours;Extended Hours (%);Open;Prev.;High;Low;Chg.;Chg. %;Vol.;Next Earnings Date;Time;Market Cap;Revenue;Average Vol. (3m);EPS;P/E Ratio;Beta;Dividend;Yield;5 Minutes;15 Minutes;30 Minutes;Hourly;5 Hours;Daily;Weekly;Monthly;Daily;1 Week;1 Month;YTD;1 Year;3 Years
Amazon.com Inc;AMZN.O;NASDAQ;231.78;-;-;228.92;-1.23%;228.81;231.78;232.42;228.46;+3.86;+1.69%;38,790,736;Jan 29, 2026;10-déc;2.48T;691,330,000,000;48,079,693;7.0768;32.79;1.37;-;-;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Neutral;Strong Buy;1.69%;1.17%;-5.09%;5.65%;1.23%;155.97%
American Express Company;AXP;NYSE;375.57;-;-;374.91;-0.18%;363.00;375.57;377.98;363.00;+11.66;+3.20%;2,804,416;Jan 23, 2026;10-déc;258,710,000,000;65,290,000,000;2,578,860;14.8762;25.33;1.15;3.28;0.87%;Sell;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;3.20%;1.19%;0.75%;26.54%;25.06%;138.75%
Apple Inc;AAPL.O;NASDAQ;278.78;-;-;276.98;-0.65%;277.75;278.78;279.75;276.44;+1.60;+0.58%;33,038,318;Jan 29, 2026;10-déc;4.12T;416,160,000,000;49,439,529;7.46;37.45;1.11;1.04;0.37%;Sell;Buy;Strong Buy;Strong Buy;Neutral;Strong Buy;Strong Buy;Strong Buy;0.58%;-0.68%;1.94%;11.32%;12.43%;92.94%
Chevron Corp;CVX;NYSE;151.41;-;-;151.00;-0.27%;149.18;151.41;151.80;148.70;+2.92;+1.97%;10,976,295;Jan 30, 2026;10-déc;304,870,000,000;188,690,000,000;7,639,597;7.0922;21.40;0.67;6.84;4.52%;Neutral;Strong Buy;Strong Buy;Strong Buy;Buy;Neutral;Strong Sell;Neutral;1.97%;-0.56%;-1.25%;4.54%;-2.13%;-10.80%
Coca-Cola Co;KO;NYSE;70.21;-;-;70.27;0.09%;70.39;70.21;70.53;69.78;+0.12;+0.17%;29,789,356;Feb 17, 2026;;302,020,000,000;47,660,000,000;16,363,495;3.0197;23.17;0.4;2.04;2.91%;Strong Buy;Strong Buy;Strong Buy;Neutral;Neutral;Neutral;Strong Buy;Strong Buy;0.17%;-0.34%;-1.82%;12.77%;9.98%;9.75%
Heico Corporation;HEI;NYSE;308.67;-;-;308.67;--;306.40;308.67;310.23;304.44;+2.96;+0.97%;568,866;Dec 18, 2025;10-déc;37,260,000,000;4,290,000,000;315,009;4.5699;52.70;1.08;0.23;0.07%;Neutral;Neutral;Buy;Sell;Strong Sell;Strong Sell;Sell;Strong Buy;0.97%;-2.21%;-5.31%;29.84%;20.84%;96.39%
Kroger Company;KR;NYSE;61.24;-;-;61.36;0.20%;62.42;61.24;62.42;61.20;-1.66;-2.64%;8,130,054;Mar 05, 2026;10-déc;39,320,000,000;147,230,000,000;7,124,303;1.1516;53.52;0.58;1.4;2.29%;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Neutral;-2.64%;-3.01%;-6.36%;0.15%;-3.25%;31.11%
Jefferies Financial Group Inc;JEF;NYSE;61.83;-;-;61.46;-0.60%;59.50;61.83;62.42;59.50;+2.25;+3.78%;2,273,247;Jan 14, 2026;;12,750,000,000;7,230,000,000;2,530,585;2.8948;21.37;-;1.6;2.59%;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;3.78%;5.12%;4.07%;-21.14%;-23.74%;78.16%
Moodys Corporation;MCO;NYSE;479.99;-;-;476.23;-0.78%;485.73;479.99;486.35;473.46;-6.38;-1.31%;2,442,521;Feb 18, 2026;10-déc;85,610,000,000;7,500,000,000;862,412;12.4174;38.48;1.41;3.76;0.78%;Strong Buy;Neutral;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Sell;Strong Buy;-1.31%;-1.94%;-2.21%;1.40%;-2.98%;64.92%
Nucor Corp;NUE;NYSE;164.33;-;-;164.41;0.05%;159.81;164.33;165.16;159.08;+6.19;+3.91%;1,907,358;Feb 03, 2026;10-déc;37,610,000,000;31,880,000,000;1,585,701;7.093;23.15;1.87;2.24;1.36%;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;3.91%;1.10%;10.75%;40.80%;25.05%;10.99%
Occidental Petroleum Corporation;OXY;NYSE;41.75;-;-;41.42;-0.79%;41.49;41.75;41.78;41.17;+0.20;+0.48%;9,376,793;Feb 25, 2026;10-déc;41,130,000,000;26,600,000,000;10,191,921;1.3904;30.02;-;0.96;2.3%;Strong Buy;Strong Buy;Strong Buy;Buy;Strong Sell;Strong Sell;Strong Sell;Strong Sell;0.48%;-2.16%;-0.43%;-15.50%;-13.36%;-34.80%
Unitedhealth Group;UNH;NYSE;328.37;-;-;326.02;-0.72%;322.75;328.37;328.73;319.60;+4.77;+1.47%;5,910,546;Jan 21, 2026;10-déc;297,450,000,000;435,160,000,000;8,685,914;19.2173;17.05;0.43;8.84;2.69%;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Neutral;Neutral;Strong Sell;Strong Sell;1.47%;-1.54%;-3.15%;-35.09%;-36.33%;-39.84%
Pool Corporation;POOL.O;NASDAQ;240.58;-;-;239.54;-0.43%;234.11;240.58;241.61;233.48;+7.27;+3.12%;690,212;Feb 12, 2026;10-déc;8,960,000,000;5,290,000,000;732,207;10.9269;22.04;1.22;5;2.08%;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Sell;Strong Sell;Strong Sell;Strong Sell;3.12%;-0.55%;-3.98%;-29.44%;-34.90%;-27.34%
Mastercard Inc;MA;NYSE;538.86;-;-;539.12;0.05%;538.09;538.86;544.95;537.50;+1.31;+0.24%;3,023,598;Feb 04, 2026;10-déc;483,890,000,000;31,470,000,000;2,759,444;15.6395;34.55;0.87;3.04;0.56%;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Buy;0.24%;-0.64%;-3.99%;2.33%;1.21%;50.45%
Visa Inc Class A;V;NYSE;325.73;-;-;325.40;-0.10%;326.64;325.73;328.76;325.30;-0.77;-0.24%;5,467,541;Jan 22, 2026;10-déc;622,870,000,000;40,000,000,000;6,142,702;10.2024;32.09;0.82;2.68;0.82%;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Buy;-0.24%;-0.42%;-3.88%;3.07%;3.66%;51.79%
