Name;Symbol;Exchange;Last;Bid;Ask;Extended Hours;Extended Hours (%);Open;Prev.;High;Low;Chg.;Chg. %;Vol.;Next Earnings Date;Time;Market Cap;Revenue;Average Vol. (3m);EPS;P/E Ratio;Beta;Dividend;Yield;5 Minutes;15 Minutes;30 Minutes;Hourly;5 Hours;Daily;Weekly;Monthly;Daily;1 Week;1 Month;YTD;1 Year;3 Years
Adobe Systems Incorporated;ADBE.O;NASDAQ;343.13;-;-;340.12;-0.88%;342.13;343.13;347.92;340.57;-1.19;-0.35%;6,789,914;Mar 12, 2026;10-déc;143,630,000,000;23,180,000,000;4,363,830;16.0464;21.65;1.54;-;-;Strong Sell;Sell;Strong Sell;Buy;Strong Buy;Strong Buy;Sell;Strong Sell;-0.35%;4.38%;1.80%;-22.84%;-27.71%;1.47%
Amkor Technology Inc;AMKR.O;NASDAQ;46.85;-;-;45.59;-2.69%;45.48;46.85;46.97;45.20;+2.24;+5.02%;5,540,490;Feb 16, 2026;10-déc;11,580,000,000;6,450,000,000;3,269,186;1.2399;37.54;2;0.3341;0.71%;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;5.02%;8.50%;35.92%;82.37%;77.60%;81.06%
Autodesk Inc;ADSK.O;NASDAQ;300.10;-;-;300.07;-0.01%;299.46;300.10;304.69;297.52;-0.65;-0.22%;1,792,998;Feb 26, 2026;10-déc;63,500,000,000;6,890,000,000;1,411,608;5.151;58.94;1.48;-;-;Strong Sell;Neutral;Strong Sell;Strong Sell;Strong Sell;Sell;Neutral;Strong Buy;-0.22%;-1.88%;-0.54%;1.53%;-2.99%;50.14%
Entegris Inc;ENTG.O;NASDAQ;94.73;-;-;92.68;-2.16%;92.34;94.73;95.65;91.21;+2.14;+2.31%;2,714,514;Feb 11, 2026;10-déc;14,370,000,000;3,220,000,000;2,559,537;1.8996;50.19;1.31;0.4;0.42%;Neutral;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Neutral;2.31%;7.48%;12.72%;-4.37%;-11.71%;30.32%
ON Semiconductor Corporation;ON.O;NASDAQ;55.10;-;-;54.27;-1.51%;55.05;55.10;56.02;54.40;-0.13;-0.24%;7,466,546;Feb 09, 2026;;22,170,000,000;6,190,000,000;8,874,997;0.7549;73.41;1.57;-;-;Sell;Neutral;Strong Sell;Sell;Strong Buy;Strong Buy;Strong Buy;Neutral;-0.24%;0.57%;11.83%;-12.61%;-17.90%;-22.38%
Open Text Corp;OTEX.O;NASDAQ;33.53;-;-;33.51;-0.06%;33.24;33.53;33.75;33.14;+0.22;+0.66%;1,022,490;Jan 29, 2026;10-déc;8,300,000,000;5,190,000,000;1,205,343;1.9086;17.63;1.09;1.1;3.28%;Neutral;Strong Buy;Strong Buy;Neutral;Sell;Sell;Sell;Buy;0.66%;-0.71%;-3.70%;18.40%;12.18%;16.18%
Qualcomm Incorporated;QCOM.O;NASDAQ;182.21;-;-;180.04;-1.19%;175.81;182.21;183.44;175.25;+6.21;+3.53%;11,100,123;Feb 04, 2026;10-déc;194,110,000,000;44,280,000,000;9,939,795;5.01;36.54;1.21;3.56;1.95%;Sell;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;3.53%;4.51%;3.14%;18.61%;15.15%;50.33%
Zebra Technologies Corporation;ZBRA.O;NASDAQ;271.30;-;-;267.68;-1.33%;265.35;271.30;274.17;263.90;+6.06;+2.28%;457,863;Feb 12, 2026;10-déc;13,760,000,000;5,260,000,000;642,394;9.9255;27.51;1.75;-;-;Neutral;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Sell;Strong Sell;2.28%;3.14%;6.11%;-29.76%;-33.45%;5.11%
Check Point Software Technologies Ltd;CHKP.O;NASDAQ;197.50;-;-;196.00;-0.76%;194.50;197.50;197.93;193.74;+3.31;+1.70%;914,181;Jan 29, 2026;10-déc;21,200,000,000;2,680,000,000;891,931;9.1213;21.63;0.61;-;-;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Neutral;Neutral;1.70%;0.85%;-2.38%;5.78%;4.22%;49.17%
Canadian Solar Inc;CSIQ.O;NASDAQ;24.35;-;-;23.98;-1.52%;22.88;24.35;24.88;22.81;+1.30;+5.64%;2,610,892;Mar 12, 2026;10-déc;1,640,000,000;5,900,000,000;4,516,853;-0.1929;-128.67;1.32;-;-;Strong Sell;Buy;Strong Buy;Strong Buy;Neutral;Neutral;Strong Buy;Strong Buy;5.64%;-1.54%;-14.44%;118.97%;96.69%;-27.23%
Teradata Corp;TDC;NYSE;31.66;-;-;31.42;-0.76%;31.47;31.66;32.03;31.29;+0.26;+0.83%;1,164,271;Feb 16, 2026;10-déc;2,950,000,000;1,650,000,000;1,514,112;1.2091;26.42;0.61;-;-;Sell;Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Neutral;0.83%;6.42%;14.05%;1.64%;-4.29%;-6.99%
