Name;Symbol;Exchange;Last;Bid;Ask;Extended Hours;Extended Hours (%);Open;Prev.;High;Low;Chg.;Chg. %;Vol.;Next Earnings Date;Time;Market Cap;Revenue;Average Vol. (3m);EPS;P/E Ratio;Beta;Dividend;Yield;5 Minutes;15 Minutes;30 Minutes;Hourly;5 Hours;Daily;Weekly;Monthly;Daily;1 Week;1 Month;YTD;1 Year;3 Years
Cadence Design Systems Inc;CDNS.O;NASDAQ;328.94;-;-;329.00;0.02%;326.56;328.94;330.84;323.32;+3.89;+1.20%;2,008,158;Feb 16, 2026;10-nov;89,540,000,000;5,210,000,000;1,744,226;3.8802;85.17;0.99;-;-;Sell;Buy;Strong Buy;Buy;Sell;Strong Sell;Sell;Strong Buy;1.20%;-1.28%;0.59%;9.48%;10.47%;97.09%
Gartner Inc;IT;NYSE;228.64;-;-;228.64;--;230.91;228.64;231.71;226.17;-1.93;-0.84%;863,063;Feb 10, 2026;10-nov;16,480,000,000;6,460,000,000;1,400,678;11.4927;19.86;1.08;-;-;Strong Buy;Strong Buy;Neutral;Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;-0.84%;0.65%;-4.51%;-52.81%;-58.48%;-31.80%
Microchip Technology Inc;MCHP.O;NASDAQ;55.41;-;-;55.41;--;57.33;55.41;57.58;55.05;-0.87;-1.55%;9,867,076;Jan 29, 2026;10-nov;29,950,000,000;4,210,000,000;7,731,418;-0.4526;-123.24;1.45;1.82;3.28%;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;-1.55%;-6.87%;-8.28%;-3.38%;-17.67%;-26.93%
ON Semiconductor Corporation;ON.O;NASDAQ;48.54;-;-;48.42;-0.25%;49.05;48.54;49.19;47.75;+0.71;+1.48%;6,228,514;Feb 09, 2026;10-nov;19,530,000,000;6,190,000,000;8,423,003;0.7549;64.54;1.57;-;-;Strong Sell;Strong Sell;Strong Sell;Neutral;Strong Sell;Strong Sell;Strong Sell;Strong Sell;1.48%;0.54%;6.12%;-23.01%;-30.88%;-35.32%
Skyworks Solutions Inc;SWKS.O;NASDAQ;69.10;-;-;69.02;-0.12%;70.69;69.10;70.74;68.19;-0.48;-0.69%;3,298,835;Feb 04, 2026;10-nov;10,270,000,000;4,090,000,000;2,784,095;3.08;22.31;1.3;2.84;4.11%;Strong Buy;Strong Buy;Neutral;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;-0.69%;-4.01%;-0.09%;-22.08%;-20.61%;-28.28%
Texas Instruments Incorporated;TXN.O;NASDAQ;160.58;-;-;159.55;-0.64%;162.00;160.58;163.37;158.49;+0.03;+0.02%;7,677,870;Jan 27, 2026;10-nov;145,910,000,000;17,270,000,000;7,487,084;5.4897;29.21;0.99;5.68;3.54%;Strong Buy;Strong Buy;Strong Buy;Neutral;Strong Sell;Strong Sell;Strong Sell;Strong Sell;0.02%;0.77%;-6.48%;-14.36%;-24.53%;-10.54%
ViaSat Inc;VSAT.O;NASDAQ;36.98;-;-;36.96;-0.05%;41.89;36.98;43.59;36.49;+1.17;+3.27%;4,523,819;Feb 10, 2026;10-nov;5,000,000,000;4,580,000,000;3,222,694;-3.97;-9.34;1.36;-;-;Strong Sell;Strong Sell;Strong Sell;Sell;Neutral;Neutral;Strong Buy;Strong Buy;3.27%;-0.43%;13.37%;334.55%;339.71%;8.60%
Check Point Software Technologies Ltd;CHKP.O;NASDAQ;202.11;-;-;202.11;--;200.48;202.11;202.94;198.29;+1.82;+0.91%;509,766;Jan 29, 2026;10-nov;21,700,000,000;2,680,000,000;824,848;9.1211;22.20;0.6;-;-;Neutral;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Buy;0.91%;5.40%;3.35%;8.25%;13.67%;53.59%
NetApp Inc;NTAP.O;NASDAQ;112.50;-;-;112.50;--;114.29;112.50;114.74;110.62;-0.47;-0.42%;2,084,130;Nov 25, 2025;10-nov;22,460,000,000;6,590,000,000;2,004,551;5.6611;19.87;1.45;2.08;1.85%;Strong Buy;Strong Buy;Neutral;Strong Sell;Strong Sell;Strong Sell;Neutral;Strong Buy;-0.42%;-0.74%;-1.26%;-3.08%;-6.96%;53.06%
Fortinet Inc;FTNT.O;NASDAQ;82.28;-;-;82.23;-0.06%;82.30;82.28;82.62;80.27;+0.49;+0.60%;6,447,941;Feb 05, 2026;10-nov;61,190,000,000;6,550,000,000;6,679,539;2.4298;33.32;-;-;-;Strong Buy;Strong Buy;Strong Buy;Buy;Strong Sell;Strong Sell;Neutral;Neutral;0.60%;-3.45%;-0.92%;-12.91%;-17.01%;46.59%
