Name;Symbol;Exchange;Last;Bid;Ask;Extended Hours;Extended Hours (%);Open;Prev.;High;Low;Chg.;Chg. %;Vol.;Next Earnings Date;Time;Market Cap;Revenue;Average Vol. (3m);EPS;P/E Ratio;Beta;Dividend;Yield;5 Minutes;15 Minutes;30 Minutes;Hourly;5 Hours;Daily;Weekly;Monthly;Daily;1 Week;1 Month;YTD;1 Year;3 Years
Atlassian Corp Plc;TEAM.O;NASDAQ;156.13;-;-;156.07;-0.04%;159.55;161.46;159.81;152.93;-5.33;-3.30%;2,600,623;Jan 29, 2026;15:59:59;41,170,000,000;5,460,000,000;3,007,707;-0.7042;-223.16;0.89;-;-;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;-3.30%;-2.83%;4.00%;-35.85%;-33.27%;30.95%
Marsh & McLennan Companies Inc;MMC;NYSE;176.58;-;-;176.58;--;177.03;178.40;178.98;175.91;-1.82;-1.02%;2,531,384;Jan 22, 2026;15:59:59;86,530,000,000;26,450,000,000;2,576,051;8.339;21.19;0.81;3.6;2.02%;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;-1.02%;-1.17%;-13.37%;-16.87%;-20.88%;8.32%
Charles River Laboratories;CRL;NYSE;170.88;-;-;170.88;--;167.72;167.70;175.00;165.74;+3.18;+1.90%;1,823,252;Feb 18, 2026;;8,450,000,000;4,030,000,000;990,137;-1.3746;-123.02;1.5;-;-;Strong Buy;Strong Buy;Buy;Neutral;Strong Sell;Strong Sell;Neutral;Neutral;1.92%;-4.57%;0.48%;-7.41%;-18.72%;-24.38%
Credit Agricole SA;CAGR.PA;EPA;15.65;-;-;--;--;15.60;15.53;15.68;15.51;+0.12;+0.77%;3,640,597;Feb 04, 2026;11:35:59;47,570,000,000;;4,260,868;2.4003;6.49;1.17;1.1;7.08%;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Sell;Strong Sell;Sell;Strong Buy;0.77%;1.07%;-3.99%;17.76%;17.89%;60.84%
TotalEnergies SE;TTEF.PA;EPA;53.24;-;-;--;--;53.03;53.68;53.48;52.93;-0.44;-0.82%;3,364,968;Feb 11, 2026;11:35:59;114,760,000,000;183,530,000,000;3,699,732;6.1848;9.89;0.23;2.55;4.79%;Strong Buy;Neutral;Neutral;Strong Sell;Neutral;Neutral;Buy;Sell;-0.82%;-0.75%;4.66%;-0.24%;-7.79%;-8.46%
L’Oreal SA;OREP.PA;EPA;354.25;-;-;--;--;360.50;362.50;360.85;353.85;-8.25;-2.28%;320,823;Feb 12, 2026;11:35:59;189,070,000,000;43,840,000,000;303,164;11.4187;31.04;0.83;7;1.93%;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;-2.28%;-3.57%;-6.59%;3.63%;2.40%;9.61%
Engie SA;ENGIE.PA;EPA;21.35;-;-;--;--;21.20;20.95;21.60;20.84;+0.40;+1.91%;7,417,320;Nov 06, 2025;11:35:59;51,790,000,000;74,350,000,000;4,030,025;2.0287;10.55;0.67;1.48;6.93%;Strong Sell;Neutral;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;1.91%;4.91%;15.62%;39.45%;40.05%;64.61%
LVMH Moet Hennessy Louis Vuitton SE;LVMH.PA;EPA;600.00;-;-;--;--;610.80;612.80;617.10;598.50;-12.80;-2.09%;403,702;Jan 22, 2026;;298,560,000,000;82,820,000,000;483,697;21.9981;27.24;0.99;13;2.17%;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Buy;Strong Buy;Neutral;-2.09%;-1.66%;7.14%;-5.59%;-3.07%;-8.54%
Air Liquide SA;AIRP.PA;EPA;168.20;-;-;--;--;168.56;168.90;169.10;167.76;-0.70;-0.41%;560,147;Feb 18, 2026;11:35:59;97,160,000,000;27,400,000,000;550,976;5.93;28.38;0.7;3.3;1.96%;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Neutral;-0.41%;-1.37%;-0.74%;7.19%;3.11%;38.30%
Peugeot SA;PEUP.PA;EPA;21.85;-;-;--;--;22.78;22.81;23.17;21.85;0.00;0.00%;-;--;;25,450,000,000;146,120,000,000;4,175,850;-0.827;-9.65;1.14;-;-;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Neutral;Strong Buy;Strong Buy;0.00%;-2.50%;-1.58%;-2.32%;10.58%;18.30%
